 | Qmax: -1.3746
| Reward: -5 | Episode: 11300 | Qmax: -1.3703
| Reward: -5 | Episode: 11301 | Qmax: -1.3720
| Reward: -5 | Episode: 11302 | Qmax: -1.3674
| Reward: -5 | Episode: 11303 | Qmax: -1.3689
| Reward: -5 | Episode: 11304 | Qmax: -1.3636
| Reward: -5 | Episode: 11305 | Qmax: -1.3737
| Reward: -5 | Episode: 11306 | Qmax: -1.3626
| Reward: -5 | Episode: 11307 | Qmax: -1.3673
| Reward: -5 | Episode: 11308 | Qmax: -1.3632
| Reward: -5 | Episode: 11309 | Qmax: -1.3629
| Reward: -5 | Episode: 11310 | Qmax: -1.3639
| Reward: -5 | Episode: 11311 | Qmax: -1.3667
| Reward: -5 | Episode: 11312 | Qmax: -1.3601
| Reward: -5 | Episode: 11313 | Qmax: -1.3627
| Reward: -5 | Episode: 11314 | Qmax: -1.3672
| Reward: -5 | Episode: 11315 | Qmax: -1.3610
| Reward: -5 | Episode: 11316 | Qmax: -1.3638
| Reward: -5 | Episode: 11317 | Qmax: -1.3592
| Reward: -5 | Episode: 11318 | Qmax: -1.3632
| Reward: -5 | Episode: 11319 | Qmax: -1.3627
| Reward: -5 | Episode: 11320 | Qmax: -1.3629
| Reward: -5 | Episode: 11321 | Qmax: -1.3572
| Reward: -5 | Episode: 11322 | Qmax: -1.3587
| Reward: -5 | Episode: 11323 | Qmax: -1.3613
| Reward: -5 | Episode: 11324 | Qmax: -1.3598
| Reward: -5 | Episode: 11325 | Qmax: -1.3589
| Reward: -5 | Episode: 11326 | Qmax: -1.3612
| Reward: -5 | Episode: 11327 | Qmax: -1.3647
| Reward: -5 | Episode: 11328 | Qmax: -1.3597
| Reward: -5 | Episode: 11329 | Qmax: -1.3598
| Reward: -5 | Episode: 11330 | Qmax: -1.3558
| Reward: -5 | Episode: 11331 | Qmax: -1.3660
| Reward: -5 | Episode: 11332 | Qmax: -1.3623
| Reward: -5 | Episode: 11333 | Qmax: -1.3543
| Reward: -5 | Episode: 11334 | Qmax: -1.3585
| Reward: -5 | Episode: 11335 | Qmax: -1.3588
| Reward: -5 | Episode: 11336 | Qmax: -1.3606
| Reward: -5 | Episode: 11337 | Qmax: -1.3526
| Reward: -5 | Episode: 11338 | Qmax: -1.3616
| Reward: -5 | Episode: 11339 | Qmax: -1.3621
| Reward: -5 | Episode: 11340 | Qmax: -1.3571
| Reward: -5 | Episode: 11341 | Qmax: -1.3631
| Reward: -5 | Episode: 11342 | Qmax: -1.3581
| Reward: -5 | Episode: 11343 | Qmax: -1.3611
| Reward: -5 | Episode: 11344 | Qmax: -1.3590
| Reward: -5 | Episode: 11345 | Qmax: -1.3564
| Reward: -5 | Episode: 11346 | Qmax: -1.3585
| Reward: -5 | Episode: 11347 | Qmax: -1.3576
| Reward: -5 | Episode: 11348 | Qmax: -1.3513
| Reward: -5 | Episode: 11349 | Qmax: -1.3591
| Reward: -5 | Episode: 11350 | Qmax: -1.3588
| Reward: -5 | Episode: 11351 | Qmax: -1.3654
| Reward: -5 | Episode: 11352 | Qmax: -1.3588
| Reward: -5 | Episode: 11353 | Qmax: -1.3603
| Reward: -5 | Episode: 11354 | Qmax: -1.3663
| Reward: -5 | Episode: 11355 | Qmax: -1.3566
| Reward: -5 | Episode: 11356 | Qmax: -1.3637
| Reward: -5 | Episode: 11357 | Qmax: -1.3612
| Reward: -5 | Episode: 11358 | Qmax: -1.3644
| Reward: -5 | Episode: 11359 | Qmax: -1.3583
| Reward: -5 | Episode: 11360 | Qmax: -1.3535
| Reward: -5 | Episode: 11361 | Qmax: -1.3609
| Reward: -5 | Episode: 11362 | Qmax: -1.3545
| Reward: -5 | Episode: 11363 | Qmax: -1.3550
| Reward: -5 | Episode: 11364 | Qmax: -1.3556
| Reward: -5 | Episode: 11365 | Qmax: -1.3558
| Reward: -5 | Episode: 11366 | Qmax: -1.3581
| Reward: -5 | Episode: 11367 | Qmax: -1.3575
| Reward: -5 | Episode: 11368 | Qmax: -1.3590
| Reward: -5 | Episode: 11369 | Qmax: -1.3620
| Reward: -5 | Episode: 11370 | Qmax: -1.3610
| Reward: -5 | Episode: 11371 | Qmax: -1.3595
| Reward: -5 | Episode: 11372 | Qmax: -1.3514
| Reward: -5 | Episode: 11373 | Qmax: -1.3632
| Reward: -5 | Episode: 11374 | Qmax: -1.3634
| Reward: -5 | Episode: 11375 | Qmax: -1.3645
| Reward: -5 | Episode: 11376 | Qmax: -1.3563
| Reward: -5 | Episode: 11377 | Qmax: -1.3690
| Reward: -5 | Episode: 11378 | Qmax: -1.3668
| Reward: -5 | Episode: 11379 | Qmax: -1.3599
| Reward: -5 | Episode: 11380 | Qmax: -1.3620
| Reward: -5 | Episode: 11381 | Qmax: -1.3581
| Reward: -5 | Episode: 11382 | Qmax: -1.3637
| Reward: -5 | Episode: 11383 | Qmax: -1.3551
| Reward: -5 | Episode: 11384 | Qmax: -1.3577
| Reward: -5 | Episode: 11385 | Qmax: -1.3561
| Reward: -5 | Episode: 11386 | Qmax: -1.3604
| Reward: -5 | Episode: 11387 | Qmax: -1.3663
| Reward: -5 | Episode: 11388 | Qmax: -1.3645
| Reward: -5 | Episode: 11389 | Qmax: -1.3698
| Reward: -5 | Episode: 11390 | Qmax: -1.3588
| Reward: -5 | Episode: 11391 | Qmax: -1.3594
| Reward: -5 | Episode: 11392 | Qmax: -1.3623
| Reward: -5 | Episode: 11393 | Qmax: -1.3599
| Reward: -5 | Episode: 11394 | Qmax: -1.3634
| Reward: -5 | Episode: 11395 | Qmax: -1.3648
| Reward: -5 | Episode: 11396 | Qmax: -1.3580
| Reward: -5 | Episode: 11397 | Qmax: -1.3569
| Reward: -5 | Episode: 11398 | Qmax: -1.3600
| Reward: -5 | Episode: 11399 | Qmax: -1.3573
| Reward: -5 | Episode: 11400 | Qmax: -1.3611
| Reward: -5 | Episode: 11401 | Qmax: -1.3581
| Reward: -5 | Episode: 11402 | Qmax: -1.3564
| Reward: -5 | Episode: 11403 | Qmax: -1.3644
| Reward: -5 | Episode: 11404 | Qmax: -1.3524
| Reward: -5 | Episode: 11405 | Qmax: -1.3577
| Reward: -5 | Episode: 11406 | Qmax: -1.3615
| Reward: -5 | Episode: 11407 | Qmax: -1.3574
| Reward: -5 | Episode: 11408 | Qmax: -1.3627
| Reward: -5 | Episode: 11409 | Qmax: -1.3643
| Reward: -5 | Episode: 11410 | Qmax: -1.3556
| Reward: -5 | Episode: 11411 | Qmax: -1.3587
| Reward: -5 | Episode: 11412 | Qmax: -1.3603
| Reward: -5 | Episode: 11413 | Qmax: -1.3536
